label,message
ham,What year. And how many miles.
ham,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
ham,Not yet chikku..wat abt u?
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,Fine i miss you very much.
ham,Me fine..absolutly fine
ham,Go where n buy? Juz buy when we get there lar.
ham,Not able to do anything.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,"How long has it been since you screamed, princess?"
ham,You said to me before i went back to bed that you can't sleep for anything.
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
ham,Ok...
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,What happen dear tell me
ham,Its a great day. Do have yourself a beautiful one.
ham,I've told you everything will stop. Just dont let her get dehydrated.
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,Can you talk with me..
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
ham,Still work going on:)it is very small house.
ham,Hmmm.still we dont have opener?
ham,I am not sure about night menu. . . I know only about noon menu
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
ham,And you! Will expect you whenever you text! Hope all goes well tomo 
ham,You still at grand prix?
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,No need to buy lunch for me.. I eat maggi mee..
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
ham,Serious? What like proper tongued her
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,K.k..how is your sister kids?
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
ham,We will meet soon princess! Ttyl!
ham,Boooo you always work. Just quit.
ham,Pls speak to that customer machan.
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
ham,"It‘s £6 to get in, is that ok?"
ham,Thanks for understanding. I've been trying to tell sura that.
spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p "
ham,COME BACK TO TAMPA FFFFUUUUUUU
ham,Ok how you dear. Did you call chechi
ham,Sorry . I will be able to get to you. See you in the morning.
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,No way I'm going back there!
ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
ham,Ü all write or wat..
ham,Not..tel software name..
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,Well i will watch shrek in 3D!!B)
ham,Lol ok. I'll snatch her purse too.
ham,1 in cbe. 2 in chennai.
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
ham,When you are big..| God will bring success.
ham,Nope i'll come online now..
ham,* Thought I didn't see you.
ham,Tell me something. Thats okay.
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,U don't remember that old commercial?
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
ham,Tmrw. Im finishing 9 doors
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
ham,So when do you wanna gym?
ham,That's the way you should stay oh.
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,What your plan for pongal?
ham,Ok then u tell me wat time u coming later lor.
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,So lets make it saturday or monday as per convenience.
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat."
ham,Ok anyway no need to change with what you said
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,I'm leaving my house now.
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
ham,Okie
ham,"If we hit it off, you can move in with me :)"
ham,"Sorry, I'll call later"
ham,"Haha figures, well I found the piece and priscilla's bowl"
ham,Great. Never been better. Each day gives even more reasons to thank God
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Can a not?
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
ham,What time. I‘m out until prob 3 or so
ham,"Thanks, I'll keep that in mind"
ham,"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
ham,Still in customer place
ham,Men like shorter ladies. Gaze up into his eyes.
ham,Ok... Thanx... Gd nite 2 ü too...
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
ham,"Yep, by the pretty sculpture"
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,Oops i thk i dun haf enuff... I go check then tell ü..
ham,Once free call me sir. I am waiting for you.
ham,Not getting anywhere with this damn job hunting over here!
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Thats cool. I want to please you...
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
ham,I will once i get home
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,Yunny i'm walking in citylink now ü faster come down... Me very hungry...
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."
ham,Hi dis is yijue i would be happy to work wif ü all for gek1510...
ham,Oh yeah! And my diet just flew out the window
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,Mm umma ask vava also to come tell him can play later together
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,Quite lor. But dun tell him wait he get complacent...
ham,Be sure to check your yahoo email. We sent photos yesterday
ham,Honey boo I'm missing u.
ham,Dunno dat's wat he told me. Ok lor...
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,U come n search tat vid..not finishd..
ham,"I'm in a meeting, call me later at"
ham,Still i have not checked it da. . .
ham,Gud mrng dear hav a nice day
