label,message
ham,Oh k. . I will come tomorrow
ham,What you doing?how are you?
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,How much is torch in 9ja.
ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,No need for the drug anymore.
ham,Hope youre not having too much fun without me!! see u tomorrow love jess x
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
ham,He is there. You call and meet him
spam,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
ham,Hurry home. Soup is DONE!
ham,Where u been hiding stranger?
ham,LOL ... Have you made plans for new years?
ham,Dunno y u ask me.
ham,"I'm not coming over, do whatever you want"
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
ham,"Right on brah, see you later"
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,I cant pick the phone right now. Pls send a message
ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
ham,Yupz... I've oredi booked slots 4 my weekends liao... 
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
ham,"Haha I heard that, text me when you're around"
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
ham,Thanx...
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
ham,Shall i ask one thing if you dont mistake me.
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
spam,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.
ham,Hi happy birthday. Hi hi hi hi hi hi hi
ham,The hair cream has not been shipped.
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
ham,K k pa Had your lunch aha.
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,S:-)kallis wont play in first two odi:-)
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
spam,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
ham,I might go 2 sch. Yar at e salon now v boring.
ham,Ill be there on  &lt;#&gt;  ok.
ham,Ding me on ya break fassyole! Blacko from londn
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,"Yes, princess. Toledo."
ham,Is ur paper today in e morn or aft?
ham,Have you got Xmas radio times. If not i will get it now
ham,Or just do that 6times
ham,How much you got for cleaning
ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
ham,Ok... Help me ask if she's working tmr a not?
ham,K. I will sent it again
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,Really good:)dhanush rocks once again:)
ham,Holy living christ what is taking you so long
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
ham,I don't know but I'm raping dudes at poker
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Thats cool. How was your day?
